year,basin_index,class_id,count
1973,8,4,17
1973,9,4,136
1973,9,5,6
1973,10,4,100
1973,10,5,4
1973,11,4,42
1973,12,4,84
1973,13,4,126
1973,13,5,3
1973,14,4,13
1973,15,4,28
1973,16,4,5
1973,17,4,107
1973,17,5,8
1973,18,4,28
1973,18,5,5
1974,0,3,2
1974,0,4,174
1974,0,5,12
1974,1,4,54
1974,1,5,16
1974,2,4,97
1974,3,4,2
1974,4,3,2
1974,4,4,83
1974,4,5,2
1974,5,4,27
1974,6,4,44
1974,6,5,17
1974,7,4,57
1974,7,5,6
1974,8,3,1
1974,8,4,17
1974,9,4,136
1974,9,5,6
1974,10,4,100
1974,10,5,4
1974,11,4,42
1974,12,4,84
1974,13,4,126
1974,13,5,3
1974,14,4,13
1974,15,4,28
1974,16,4,5
1974,17,4,107
1974,17,5,8
1974,18,4,28
1974,18,5,5
1975,0,3,2
1975,0,4,174
1975,0,5,12
1975,1,4,54
1975,1,5,16
1975,2,4,97
1975,3,4,2
1975,4,3,2
1975,4,4,83
1975,4,5,2
1975,5,4,27
1975,6,4,44
1975,6,5,17
1975,7,4,57
1975,7,5,6
1975,8,3,1
1975,8,4,17
1975,9,4,136
1975,9,5,6
1975,10,4,100
1975,10,5,4
1975,11,4,42
1975,12,4,84
1975,13,4,126
1975,13,5,3
1975,14,4,13
1975,15,4,28
1975,16,4,5
1975,17,4,107
1975,17,5,8
1975,18,4,28
1975,18,5,5
1976,0,3,2
1976,0,4,174
1976,0,5,12
1976,1,4,54
1976,1,5,16
1976,2,4,97
1976,3,4,2
1976,4,3,2
1976,4,4,83
1976,4,5,2
1976,5,4,27
1976,6,4,44
1976,6,5,17
1976,7,4,57
1976,7,5,6
1976,8,3,1
1976,8,4,17
1976,9,4,136
1976,9,5,6
1976,10,4,100
1976,10,5,4
1976,11,4,42
1976,12,4,84
1976,13,4,126
1976,13,5,3
1976,14,4,13
1976,15,4,28
1976,16,4,5
1976,17,4,107
1976,17,5,8
1976,18,4,28
1976,18,5,5
1977,0,3,2
1977,0,4,174
1977,0,5,12
1977,1,4,54
1977,1,5,16
1977,2,4,97
1977,3,4,2
1977,4,3,2
1977,4,4,83
1977,4,5,2
1977,5,4,27
1977,6,4,44
1977,6,5,17
1977,7,4,57
1977,7,5,6
1977,8,3,1
1977,8,4,17
1977,9,4,136
1977,9,5,6
